datetime_scraped,event_url
2022-06-13 18:13:58.995928,http://www.ufcstats.com/event-details/2549d63da9c456cb
2022-06-13 18:13:58.997006,http://www.ufcstats.com/event-details/ad047e3073a775f3
2022-06-13 18:13:59.008577,http://www.ufcstats.com/event-details/2efbc83a6b9b7f86
2022-06-13 18:13:59.027628,http://www.ufcstats.com/event-details/2299605af59fd309
2022-06-13 18:13:59.035198,http://www.ufcstats.com/event-details/bf12aca029bfcc47
2022-06-13 18:13:59.037553,http://www.ufcstats.com/event-details/46f11d15c0134fe3
2022-06-13 18:13:59.059442,http://www.ufcstats.com/event-details/19ffeb5e3fffd6d5
2022-06-13 18:13:59.060239,http://www.ufcstats.com/event-details/0db70ca89e1c7374
2022-06-13 18:13:59.082654,http://www.ufcstats.com/event-details/279093302a6f44b3
2022-06-13 18:13:59.087869,http://www.ufcstats.com/event-details/312f47c3d2f83ffa
2022-06-13 18:13:59.088595,http://www.ufcstats.com/event-details/c670aa48827d6be6
2022-06-13 18:13:59.124967,http://www.ufcstats.com/event-details/ea398c802d9998ee
2022-06-13 18:13:59.126016,http://www.ufcstats.com/event-details/30cd319d39ee689b
2022-06-13 18:13:59.126804,http://www.ufcstats.com/event-details/a2b06ca02bca14c0
2022-06-13 18:13:59.146373,http://www.ufcstats.com/event-details/23ab42947c1990e3
2022-06-13 18:13:59.149328,http://www.ufcstats.com/event-details/68c6cd5287b473a7
2022-06-13 18:13:59.167430,http://www.ufcstats.com/event-details/2a542ee8a8b83559
2022-06-13 18:13:59.168475,http://www.ufcstats.com/event-details/d1759b2b7be9be56
2022-06-13 18:13:59.178405,http://www.ufcstats.com/event-details/7d21de9c6d7c98b2
2022-06-13 18:13:59.211700,http://www.ufcstats.com/event-details/04d5718ed2661e8c
2022-06-13 18:13:59.216024,http://www.ufcstats.com/event-details/29b5791e51e7e832
2022-06-13 18:13:59.232913,http://www.ufcstats.com/event-details/1652f3213655b935
2022-06-13 18:13:59.233731,http://www.ufcstats.com/event-details/c4b6099f0d25f75e
2022-06-13 18:13:59.251548,http://www.ufcstats.com/event-details/4908c5ee68a50ee5
2022-06-13 18:13:59.255225,http://www.ufcstats.com/event-details/cb6783c39c01d896
2022-06-13 18:13:59.279383,http://www.ufcstats.com/event-details/0ee783aa00e468f0
2022-06-13 18:13:59.284992,http://www.ufcstats.com/event-details/48d1f690b763934c
2022-06-13 18:13:59.308258,http://www.ufcstats.com/event-details/a8ea84cbe1655f0a
2022-06-13 18:13:59.315596,http://www.ufcstats.com/event-details/c6a33ff198aaaeeb
2022-06-13 18:13:59.321365,http://www.ufcstats.com/event-details/896c322f56b8be5a
2022-06-13 18:13:59.338111,http://www.ufcstats.com/event-details/84a067c46306a737
2022-06-13 18:13:59.339168,http://www.ufcstats.com/event-details/7c0847d3854a95f2
2022-06-13 18:13:59.340029,http://www.ufcstats.com/event-details/fa8b9e6b0c2269f8
2022-06-13 18:13:59.363133,http://www.ufcstats.com/event-details/91d73ee59347ac16
2022-06-13 18:13:59.363926,http://www.ufcstats.com/event-details/821cd80aab70d5f9
2022-06-13 18:13:59.397443,http://www.ufcstats.com/event-details/a6d8bfe9e0c8153b
2022-06-13 18:13:59.421839,http://www.ufcstats.com/event-details/15edcf67ccf5be84
2022-06-13 18:13:59.423088,http://www.ufcstats.com/event-details/58bc81376286b3d3
2022-06-13 18:13:59.431419,http://www.ufcstats.com/event-details/49efbdc6c9f650c4
2022-06-13 18:13:59.438041,http://www.ufcstats.com/event-details/c80095f6092271a7
2022-06-13 18:13:59.454722,http://www.ufcstats.com/event-details/3795fca327cbcf23
2022-06-13 18:13:59.455660,http://www.ufcstats.com/event-details/24b033b3daf1c9df
2022-06-13 18:13:59.477844,http://www.ufcstats.com/event-details/3ed134d85dfbd7b4
2022-06-13 18:13:59.489173,http://www.ufcstats.com/event-details/d0c29452d3272603
2022-06-13 18:13:59.520716,http://www.ufcstats.com/event-details/9bcf8603ceb25680
2022-06-13 18:13:59.522460,http://www.ufcstats.com/event-details/bfc2fc38a0e20211
2022-06-13 18:13:59.523302,http://www.ufcstats.com/event-details/cfb65863d5099327
2022-06-13 18:13:59.538129,http://www.ufcstats.com/event-details/140745cbbcb023ac
2022-06-13 18:13:59.543597,http://www.ufcstats.com/event-details/2f3f12002564bb55
2022-06-13 18:13:59.545102,http://www.ufcstats.com/event-details/f12f979b657ab876
2022-06-13 18:13:59.564331,http://www.ufcstats.com/event-details/054defd5420a551f
2022-06-13 18:13:59.572082,http://www.ufcstats.com/event-details/acff437707625fc7
2022-06-13 18:13:59.603570,http://www.ufcstats.com/event-details/ad32471f01e7b1a5
2022-06-13 18:13:59.632066,http://www.ufcstats.com/event-details/afdb76fbd86f6d11
2022-06-13 18:13:59.632827,http://www.ufcstats.com/event-details/d512d9f204059f57
2022-06-13 18:13:59.634733,http://www.ufcstats.com/event-details/dd992d569aaebee6
2022-06-13 18:13:59.637583,http://www.ufcstats.com/event-details/0ff11cc094e887bc
2022-06-13 18:13:59.664011,http://www.ufcstats.com/event-details/132f860d02953f4c
2022-06-13 18:13:59.669280,http://www.ufcstats.com/event-details/5d7bdab5e03e3216
2022-06-13 18:13:59.684207,http://www.ufcstats.com/event-details/d1152823307d7e7c
2022-06-13 18:13:59.696823,http://www.ufcstats.com/event-details/282fa667ff9c51ed
2022-06-13 18:13:59.728459,http://www.ufcstats.com/event-details/a54fc2d6fc224dc3
2022-06-13 18:13:59.732558,http://www.ufcstats.com/event-details/65ddc8a9ac4e8531
2022-06-13 18:13:59.735298,http://www.ufcstats.com/event-details/1411c630ba711b64
2022-06-13 18:13:59.746134,http://www.ufcstats.com/event-details/8a59d346dc976a10
2022-06-13 18:13:59.779916,http://www.ufcstats.com/event-details/88a9bc81271ccd89
2022-06-13 18:13:59.781335,http://www.ufcstats.com/event-details/b732b326c362fb62
2022-06-13 18:13:59.782821,http://www.ufcstats.com/event-details/3ba3b5cc94498437
2022-06-13 18:13:59.785363,http://www.ufcstats.com/event-details/2db7fa8db6bc9632
2022-06-13 18:13:59.825450,http://www.ufcstats.com/event-details/aac5ac38148f0528
2022-06-13 18:13:59.833788,http://www.ufcstats.com/event-details/f1f9e48a0d150757
2022-06-13 18:13:59.845638,http://www.ufcstats.com/event-details/d023ae89a2a4a41e
2022-06-13 18:13:59.848977,http://www.ufcstats.com/event-details/83fd97284f4bb4a4
2022-06-13 18:13:59.866215,http://www.ufcstats.com/event-details/4c8d6fde2dde07c4
2022-06-13 18:13:59.879625,http://www.ufcstats.com/event-details/1ffc38f67785797b
2022-06-13 18:13:59.902959,http://www.ufcstats.com/event-details/18968f97ad34f15c
2022-06-13 18:13:59.908901,http://www.ufcstats.com/event-details/73ef22f25d0f70e2
2022-06-13 18:13:59.936437,http://www.ufcstats.com/event-details/7d5b12de1625984e
2022-06-13 18:13:59.939437,http://www.ufcstats.com/event-details/44f9c777fed7ca03
2022-06-13 18:13:59.945137,http://www.ufcstats.com/event-details/e780ccc79a209985
2022-06-13 18:13:59.966993,http://www.ufcstats.com/event-details/8788beb528894f33
2022-06-13 18:13:59.971697,http://www.ufcstats.com/event-details/1c061eb6e29eaa0a
2022-06-13 18:13:59.972404,http://www.ufcstats.com/event-details/0ec821423baa26bd
2022-06-13 18:13:59.996199,http://www.ufcstats.com/event-details/6d7886b094b471ac
2022-06-13 18:13:59.996986,http://www.ufcstats.com/event-details/1f5f75658551f2d3
2022-06-13 18:14:00.034478,http://www.ufcstats.com/event-details/18524b46c570730b
2022-06-13 18:14:00.042480,http://www.ufcstats.com/event-details/c3c23c99477c041b
2022-06-13 18:14:00.046413,http://www.ufcstats.com/event-details/df2cf66d8c0123db
2022-06-13 18:14:00.048835,http://www.ufcstats.com/event-details/4d74641fac830182
2022-06-13 18:14:00.082577,http://www.ufcstats.com/event-details/0a97691039c4bbfb
2022-06-13 18:14:00.089926,http://www.ufcstats.com/event-details/8377c5572cb356f3
2022-06-13 18:14:00.090652,http://www.ufcstats.com/event-details/b5ea750025697880
2022-06-13 18:14:00.120343,http://www.ufcstats.com/event-details/21f2974fd08085e3
2022-06-13 18:14:00.135269,http://www.ufcstats.com/event-details/8caca5857ce0e30b
2022-06-13 18:14:00.140483,http://www.ufcstats.com/event-details/155bfc7ed36622df
2022-06-13 18:14:00.150106,http://www.ufcstats.com/event-details/5898357a45a73674
2022-06-13 18:14:00.150949,http://www.ufcstats.com/event-details/4985113c0928aa62
2022-06-13 18:14:00.170545,http://www.ufcstats.com/event-details/96087e90d900f0ef
2022-06-13 18:14:00.179941,http://www.ufcstats.com/event-details/49590e0508b2c19f
2022-06-13 18:14:00.182164,http://www.ufcstats.com/event-details/505934897b8b4824
2022-06-13 18:14:00.219649,http://www.ufcstats.com/event-details/3da19339ee7051d5
2022-06-13 18:14:00.232789,http://www.ufcstats.com/event-details/d3b5ad3b15a64a18
2022-06-13 18:14:00.238545,http://www.ufcstats.com/event-details/e8efeb9cf33b1941
2022-06-13 18:14:00.245304,http://www.ufcstats.com/event-details/f62850b3c7480db9
2022-06-13 18:14:00.255509,http://www.ufcstats.com/event-details/abbc4fc02e0d84b3
2022-06-13 18:14:00.271890,http://www.ufcstats.com/event-details/3c48019bc387b80c
2022-06-13 18:14:00.275219,http://www.ufcstats.com/event-details/53e533db1b8e9712
2022-06-13 18:14:00.328968,http://www.ufcstats.com/event-details/6cbb7661c3258617
2022-06-13 18:14:00.330577,http://www.ufcstats.com/event-details/6a0b80a24f22e152
2022-06-13 18:14:00.331730,http://www.ufcstats.com/event-details/319fa1bd3176bded
2022-06-13 18:14:00.333521,http://www.ufcstats.com/event-details/96d173b7f92aa520
2022-06-13 18:14:00.345693,http://www.ufcstats.com/event-details/d1e6a6536ee62517
2022-06-13 18:14:00.361944,http://www.ufcstats.com/event-details/c6da1c24fe473418
